10.1109/iccvw54120.2021.00117
10.1109/tvt.2022.3160353
10.1109/tmech.2004.842243
10.1109/mtits.2017.8005724
10.1109/sii52469.2022.9708754
10.1109/icse48619.2023.00155
10.1109/smc52423.2021.9659223
10.1109/naecon.2000.894967
10.1109/itsc.2012.6338701
10.1109/sas.2019.8705965
10.1109/metroautomotive61329.2024.10615774
10.1109/ieeeconf56737.2023.10092162
10.1109/icarcv.2018.8581290
10.1109/i2mtc.2018.8409548
10.1109/ascc.2017.8287208
10.1109/icves.2018.8519486
10.1109/iciibms60103.2023.10347754
10.1109/isncc58260.2023.10323714
10.1109/cpsna.2016.10
10.1109/ccdc62350.2024.10588017
10.1109/tse.2024.3370807
10.1109/icma.2009.5246397
10.1109/ica-symp56348.2023.10044952
10.1109/ic3se62002.2024.10593475
10.1109/icra40945.2020.9197351
10.1109/nana63151.2024.00095
10.1109/ase51524.2021.9678593
10.1109/wf-iot58464.2023.10539453
10.1109/fie49875.2021.9637352
10.1109/access.2024.3487841
10.1109/temc.2018.2812604
10.1109/tcst.2016.2640941
10.23919/ecc54610.2021.9655077
10.1109/itsc.2019.8917403
10.1109/iri51335.2021.00023
10.1109/icced56140.2022.10010625
10.1109/rusautocon61949.2024.10694645
10.1109/icipca59209.2023.10257959
10.1109/access.2022.3221809
10.1109/soli48380.2019.8955051
10.1109/icears56392.2023.10085106
10.1109/fpt.2018.00085
10.1109/vtc2020-fall49728.2020.9348807
10.1109/tim.2021.3094223
10.1109/tiv.2021.3051325
10.1109/iccve52871.2022.9742737
10.1109/ivs.2018.8500545
10.1109/cavs51000.2020.9334669
10.1109/icdcs.2019.00195
10.1109/tits.2022.3186248
10.1109/aitest58265.2023.00014
10.1109/irc.2020.00018
10.1109/most60774.2024.00014
10.1109/itsc.2018.8569806
10.1109/tim.2022.3199252
10.1109/tse.2019.2926971
10.1109/icamac62387.2024.10829286
10.1109/ecai58194.2023.10194188
10.1109/cloud-summit61220.2024.00029
10.1109/icsrs48664.2019.8987708
10.1109/ddecs57882.2023.10139388
10.1109/icisce50968.2020.00340
10.1109/iucc/dsci/smartcns.2019.00091
10.1109/iccas.2008.4694485
10.1109/incoft60753.2023.10425208
10.1109/sbst52555.2021.00018
10.1109/tits.2023.3300911
10.1109/tnse.2020.2997359
10.1109/icoa62581.2024.10754161
10.1109/icarm54641.2022.9959670
10.1109/ieem45057.2020.9309972
10.1109/issre59848.2023.00054
10.1145/3510003.3510188
10.1109/icstw58534.2023.00046
10.1109/issrew63542.2024.00073
10.1109/iavvc57316.2023.10328043
10.1109/ramech.2006.252729
10.1109/acirs.2019.8936045
10.1109/jsyst.2020.3004805
10.1109/tvcg.2024.3372121
10.1109/tii.2021.3071405
10.1109/iranianmvip.2017.8342361
10.1109/itsc.2018.8569753
10.1109/lra.2020.3009075
10.1109/dicta47822.2019.8945923
10.1109/tie.2020.2994868
10.1109/jsen.2023.3236838
10.1109/iv55156.2024.10588578
10.23919/iccas52745.2021.9649830
10.1109/access.2024.3482114
10.1109/itsc55140.2022.9922527
10.1109/icdsaai55433.2022.10028937
10.1109/met52542.2021.00012
10.1109/autest.2018.8532535
10.1109/vtcspring.2018.8417887
10.1109/itsc45102.2020.9294368
10.1109/sbft59156.2023.00018
10.23919/acc53348.2022.9867774
10.1109/acroset62108.2024.10743621
10.1109/access.2022.3155738
10.1109/isspit.2017.8388636
10.1109/codit62066.2024.10708202
10.1109/di-cps56137.2022.00011
10.1109/tiv.2018.2843128
10.1109/globconpt57482.2022.9938180
10.1109/nano.2015.7388838
10.1109/qrs57517.2022.00078
10.1109/isncc.2019.8909159
10.1109/iv55156.2024.10588843
10.1109/iros51168.2021.9636026
10.1109/esit.2018.8665173
10.1109/rasse60029.2023.10363473
10.1109/ecice59523.2023.10383155
10.1109/icmisi61517.2024.10580156
10.1109/icscna58489.2023.10370173
10.1109/itsc.2017.8317940
10.1109/iv48863.2021.9575425
10.1109/icstw52544.2021.00022
10.1109/qrs-c55045.2021.00083
10.1109/sescps.2015.9
10.1109/uvs59630.2024.10467165
10.1109/wsc.2018.8632548
10.1109/models.2019.00-12
10.1109/ieeeconf53456.2022.9744309
10.1109/meco58584.2023.10155027
10.1109/itsc57777.2023.10421992
10.1109/comsnets59351.2024.10427233
10.1109/iccit60459.2023.10441049
10.1109/icssit55814.2023.10061032
10.1109/stc55697.2022.00014
10.1109/lra.2018.2857402
10.1109/ishc56805.2022.00041
10.1109/safeprocess52771.2021.9693620
10.1109/cac.2013.6775815
10.1109/ut.2017.7890303
10.1109/prdc53464.2021.00011
10.1109/sm63044.2024.10733498
10.1145/3526072.3527538
10.1109/ijcnn48605.2020.9206972
10.1109/sbft59156.2023.00008
10.1109/ivs.2015.7225803
10.1109/tits.2023.3305620
10.1109/ieeeconf56737.2023.10092046
10.23919/iccas52745.2021.9649806
10.1109/eleco64362.2024.10847157
10.1109/cacs55319.2022.9969850
10.1109/robot.2001.933116
10.1109/emc/si/pi/emceurope52599.2021.9559236
10.1109/thms.2018.2799523
10.1109/tits.2024.3392673
10.1109/icccnt61001.2024.10724234
10.1109/mcsoc57363.2022.00028
10.1109/dac18074.2021.9586321
10.1109/med.2010.5547872
10.1109/itsc45102.2020.9294310
10.1109/vtc2020-spring48590.2020.9129463
10.1109/tr.2021.3112538
10.1109/eucnc/6gsummit54941.2022.9815732
10.1109/qrs-c55045.2021.00179
10.1109/isctis63324.2024.10699262
10.1109/ro-man57019.2023.10309319
10.1109/iwcmc55113.2022.9824617
10.1109/iaict62357.2024.10617839
10.1109/sii.2016.7843998
10.1109/tip.2024.3473532
10.1109/ice/itmc-iamot55089.2022.10033188
10.1109/rmkmate59243.2023.10369847
10.26599/ijcs.2022.9100034
10.1109/sitis57111.2022.00026
10.1109/lra.2022.3192632
10.1109/acssc.2018.8645422
10.1109/itsc.2017.8317963
10.1109/icst60714.2024.00024
10.1109/itsc57777.2023.10422676
10.1109/ase56229.2023.00154
10.1109/tvt.2022.3151326
10.1109/dsa59317.2023.00107
10.1109/qrs-c63300.2024.00049
10.1109/icite.2017.8056916
10.1109/icst.2018.00040
10.1109/sm63044.2024.10733482
10.1109/icmtma54903.2022.00051
10.1109/wcncw.2019.8902858
10.1109/iscon57294.2023.10112086
10.1109/tvlsi.2020.3025138
10.1109/iv51971.2022.9827400
10.1109/metroautomotive57488.2023.10219135
10.1109/re59067.2024.00060
10.1109/vlsi-soc53125.2021.9606997
10.1109/ictc62082.2024.10826803
10.1145/3194770.3194778
10.1145/3639477.3639749
10.1109/tits.2021.3122865
10.1109/icstw.2019.00033
10.1109/icse43902.2021.00047
10.1109/icce-asia57006.2022.9954858
10.1109/icac3n53548.2021.9725762
10.1109/sbft59156.2023.00010
10.1109/aist55798.2022.10064933
10.1109/iccica60014.2024.10585196
10.1109/isda.2006.57
10.1109/tse.2019.2962027
10.1109/actea.2009.5227853
10.1109/tits.2024.3421343
10.1109/iv47402.2020.9304811
10.1109/icstw58534.2023.00049
10.1109/access.2022.3165656
10.1109/dsn-s60304.2024.00018
10.23919/ccc52363.2021.9550305
10.1109/icce48956.2021.9352098
10.1109/tits.2020.3023668
10.1109/confluence51648.2021.9377130
10.1109/iv48863.2021.9575651
10.1109/qrs-c60940.2023.00076
10.1109/taes.2022.3165771
10.1109/icse-nier.2019.00030
10.1109/telfor59449.2023.10372711
10.1109/jsyst.2015.2496293
10.1109/itsc.2017.8317656
10.1109/tirved53476.2021.9639110
10.1109/smc53992.2023.10394032
10.1109/sose58276.2023.00031
10.1109/deeptest52559.2021.00010
10.1109/itsc45102.2020.9294544
10.1109/itsc57777.2023.10422069
10.1109/icsme.2019.00078
10.23919/panpacific48324.2020.9059394
10.1109/icce-berlin47944.2019.8966202
10.1109/icsecc51444.2020.9557483
10.1145/3639478.3640031
10.1109/iccse.2019.8845483
10.1145/3180155.3180220
10.1109/icmla.2016.0112
10.1109/vppc53923.2021.9699231
10.1109/ets48528.2020.9131585
10.1109/rusautocon61949.2024.10694190
10.1109/icca.2007.4376518
10.1109/icst57152.2023.00012
10.1109/iv47402.2020.9304658
10.1109/radar.2018.8557265
10.1109/ccci52664.2021.9583190
10.1109/icassp40776.2020.9053041
10.1109/ccta.2018.8511371
10.1109/itsc45102.2020.9294389
10.1109/iccke57176.2022.9960090
10.1109/icoin53446.2022.9687175
10.1109/iscon52037.2021.9702385
10.1109/itsc55140.2022.9922145
10.1109/iccp63557.2024.10793003
10.1109/rast.2019.8767902
10.1109/iv55156.2024.10588652
10.1109/ic-cgu58078.2024.10530760
10.1109/cenim51130.2020.9297973
10.1109/qrs.2019.00058
10.1109/iros45743.2020.9341132
10.1109/scsp49987.2020.9133942
10.1109/vlhcc.2005.9
10.1109/sbft59156.2023.00007
10.1145/3597503.3639178
10.1109/icses60034.2023.10465486
10.1109/icst.2019.00057
10.1109/jrfid.2022.3211565
10.1109/icacite60783.2024.10616848
10.1109/access.2021.3059652
10.1109/itsc45102.2020.9294169
10.1109/miucc55081.2022.9781682
10.1109/ivs.2016.7535378
10.1145/3125503.3125568
10.23919/sice.2019.8859824
10.1109/phm-hangzhou58797.2023.10482519
10.1109/metrocad48866.2020.00019
10.1109/tits.2021.3136353
10.1109/ivs.2018.8500705
10.1109/sp46214.2022.9833567
10.1109/tcns.2021.3084045
10.1109/itsc.2015.66
10.1109/access.2024.3406219
10.1109/icse-seet.2019.00014
10.1109/icstcc50638.2020.9259698
10.1109/vtc2020-fall49728.2020.9348708
10.1109/icstcc52150.2021.9607221
10.1109/itsc57777.2023.10422153
10.1109/icccnt61001.2024.10725578
10.23919/sice.2017.8105669
10.1109/ieeeconf51389.2021.9416103
10.1109/icstw.2019.00053
10.1109/mmar.2018.8485994
10.1109/icse48619.2023.00216
10.1109/icma.2009.5246227
10.1109/isse51541.2021.9582499
10.1109/icse-companion58688.2023.00027
10.1109/tase.2022.3188415
10.1109/aitest52744.2021.00030
